-1,100131648@N04,30471008962,D:\flickr_image\images\100131648@N04_30471008962.jpg,11,-73.7793055555556,40.6433055555556
-1,100131648@N04,30499876131,D:\flickr_image\images\100131648@N04_30499876131.jpg,12,-73.7793055555556,40.6433055555556
-1,33803954@N07,38728499684,D:\flickr_image\images\33803954@N07_38728499684.jpg,2,-73.7784194444444,40.6434527777778
-1,77179348@N00,32125975482,D:\flickr_image\images\77179348@N00_32125975482.jpg,1,-73.7781916666667,40.6435
-1,8377971@N08,24992173707,D:\flickr_image\images\8377971@N08_24992173707.jpg,3,-73.77922,40.64328
0,10455001@N07,34485300343,D:\flickr_image\images\10455001@N07_34485300343.jpg,8,-73.7825861111111,40.6441083333333
0,10455001@N07,35295113685,D:\flickr_image\images\10455001@N07_35295113685.jpg,3,-73.7826777777778,40.6440722222222
2,11374644@N06,35342843760,D:\flickr_image\images\11374644@N06_35342843760.jpg,2,-73.7792194444445,40.6380166666667
0,11374644@N06,35342844280,D:\flickr_image\images\11374644@N06_35342844280.jpg,10,-73.78235,40.6426388888889
0,11374644@N06,35560923752,D:\flickr_image\images\11374644@N06_35560923752.jpg,1,-73.7823472222222,40.6426388888889
0,11374644@N06,35560923902,D:\flickr_image\images\11374644@N06_35560923902.jpg,4,-73.78235,40.6426388888889
0,11374644@N06,35560923992,D:\flickr_image\images\11374644@N06_35560923992.jpg,12,-73.7823472222222,40.6426388888889
0,11374644@N06,35730119035,D:\flickr_image\images\11374644@N06_35730119035.jpg,2,-73.7835305555556,40.6405305555556
0,117240881@N02,28966335320,D:\flickr_image\images\117240881@N02_28966335320.jpg,3,-73.7838972222222,40.6414
0,117240881@N02,29175828371,D:\flickr_image\images\117240881@N02_29175828371.jpg,3,-73.78395,40.6414083333333
0,142938205@N05,33403480386,D:\flickr_image\images\142938205@N05_33403480386.jpg,3,-73.7822722222222,40.6421361111111
0,142938205@N05,33443831285,D:\flickr_image\images\142938205@N05_33443831285.jpg,7,-73.78215,40.639
0,142938205@N05,33443831785,D:\flickr_image\images\142938205@N05_33443831785.jpg,7,-73.7827,40.6404638888889
0,15802578@N00,37417313536,D:\flickr_image\images\15802578@N00_37417313536.jpg,4,-73.7820583333333,40.644455
